1,中国,亚洲,"3.17万亿 (3,168,216,331,199)"
2,日本,亚洲,"1.27万亿 (1,270,467,038,786)"
3,瑞士,欧洲,"7870.21亿 (787,021,335,043)"
4,沙特阿拉伯,亚洲,"5094.69亿 (509,468,527,336)"
5,俄罗斯,欧洲,"4686.45亿 (468,645,216,082)"
6,美国,美洲,"4499.07亿 (449,907,088,828)"
7,香港,亚洲,"4246.2亿 (424,619,925,347)"
8,韩国,亚洲,"4030.82亿 (403,082,233,385)"
9,印度,亚洲,"3991.67亿 (399,167,159,226)"
10,巴西,美洲,"3747.1亿 (374,709,673,447)"
11,新加坡,亚洲,"2927.16亿 (292,715,632,357)"
12,泰国,亚洲,"2056.41亿 (205,640,628,937)"
13,德国,欧洲,"1980.27亿 (198,027,061,675)"
14,墨西哥,美洲,"1763.9亿 (176,390,278,595)"
15,英国,欧洲,"1726.58亿 (172,657,749,536)"
16,法国,欧洲,"1664.83亿 (166,483,400,196)"
17,意大利,欧洲,"1523.62亿 (152,361,936,421)"
18,捷克,欧洲,"1425.12亿 (142,511,752,519)"
19,印尼,亚洲,"1206.61亿 (120,660,974,090)"
20,波兰,欧洲,"1169.57亿 (116,956,636,327)"
21,以色列,亚洲,"1152.66亿 (115,265,900,520)"
22,马来西亚,亚洲,"1014.53亿 (101,452,531,755)"
23,阿联酋,亚洲,"995.03亿 (99,503,335,478)"
24,土耳其,欧洲,"929.97亿 (92,997,230,040)"
25,阿尔及利亚,非洲,"873.83亿 (87,382,910,154)"
26,利比亚,非洲,"853.36亿 (85,335,649,782)"
27,加拿大,美洲,"839.26亿 (83,925,602,808)"
28,菲律宾,亚洲,"791.96亿 (79,195,598,849)"
29,丹麦,欧洲,"709.42亿 (70,942,078,373)"
30,西班牙,欧洲,"706.33亿 (70,633,189,427)"
31,阿根廷,美洲,"662.22亿 (66,221,501,691)"
32,伊拉克,亚洲,"647.19亿 (64,719,421,423)"
33,挪威,欧洲,"631.45亿 (63,145,471,060)"
34,瑞典,欧洲,"605.66亿 (60,566,144,400)"
35,秘鲁,美洲,"603.33亿 (60,333,192,024)"
36,越南,亚洲,"554.53亿 (55,452,622,582)"
37,澳大利亚,大洋洲,"539.1亿 (53,909,533,420)"
38,黎巴嫩,亚洲,"523.81亿 (52,380,608,542)"
39,南非,非洲,"516.42亿 (51,642,041,966)"
40,哥伦比亚,美洲,"478.88亿 (47,887,623,364)"
41,尼日利亚,非洲,"428.39亿 (42,838,869,124)"
42,罗马尼亚,欧洲,"421.29亿 (42,129,061,937)"
43,埃及,非洲,"418.39亿 (41,839,242,990)"
44,科威特,亚洲,"402.82亿 (40,282,453,060)"
45,智利,美洲,"398.59亿 (39,858,824,174)"
46,荷兰,欧洲,"384.32亿 (38,431,677,254)"
47,孟加拉,亚洲,"320.28亿 (32,028,383,716)"
48,匈牙利,欧洲,"313.67亿 (31,366,581,856)"
49,哈萨克斯坦,亚洲,"309.77亿 (30,976,612,438)"
50,卡塔尔,亚洲,"303.58亿 (30,358,280,804)"
51,保加利亚,欧洲,"287.11亿 (28,711,039,864)"
52,乌兹别克斯坦,亚洲,"270.77亿 (27,077,105,981)"
53,比利时,欧洲,"268.57亿 (26,856,799,008)"
54,葡萄牙,欧洲,"249.2亿 (24,920,338,987)"
55,摩洛哥,非洲,"244.61亿 (24,461,023,093)"
56,奥地利,欧洲,"231.91亿 (23,190,665,221)"
57,乌克兰,欧洲,"208.18亿 (20,817,897,004)"
58,澳门,亚洲,"202.81亿 (20,281,241,000)"
59,克罗地亚,欧洲,"199.91亿 (19,991,304,927)"
60,新西兰,大洋洲,"176.57亿 (17,656,593,019)"
61,阿曼,亚洲,"173.88亿 (17,388,370,607)"
62,乌拉圭,美洲,"155.57亿 (15,556,520,867)"
63,安哥拉,非洲,"154.1亿 (15,410,405,365)"
64,柬埔寨,亚洲,"146.31亿 (14,630,894,025)"
65,塞尔维亚,欧洲,"128.74亿 (12,874,374,086)"
66,危地马拉,美洲,"125.83亿 (12,583,121,641)"
